Category,Name,Image,Have,Need,Duplicates,Element,Vehicle Type,Link,Image Link
Skylander,Blastermind,,,X,,Magic,,http://skylanderscharacterlist.com/blastermind/,http://skylanderscharacterlist.com/wp-content/uploads/2014/09/Blastermind-150x150.png
Skylander,Bushwhack,,,X,,Life,,http://skylanderscharacterlist.com/bushwhack/,http://skylanderscharacterlist.com/wp-content/uploads/2014/08/BushWhack-150x150.png
Skylander,Enigma,,,X,,Magic,,http://skylanderscharacterlist.com/enigma/,http://skylanderscharacterlist.com/wp-content/uploads/2014/09/Enigma-150x150.png
Skylander,Gearshift,,,X,,Tech,,http://skylanderscharacterlist.com/gearshift/,http://skylanderscharacterlist.com/wp-content/uploads/2014/06/Gearshift-150x150.png
Skylander,Gusto,,,X,,Water,,http://skylanderscharacterlist.com/gusto/,http://skylanderscharacterlist.com/wp-content/uploads/2014/06/Gusto1-150x150.png
Skylander,Head Rush,,,X,,Earth,,http://skylanderscharacterlist.com/head-rush/,http://skylanderscharacterlist.com/wp-content/uploads/2014/08/HeadRush-150x150.png
Skylander,Jawbreaker,,,X,,Tech,,http://skylanderscharacterlist.com/jawbreaker/,http://skylanderscharacterlist.com/wp-content/uploads/2014/06/JawBreaker1-150x150.png
Skylander,Ka-Boom,,,X,,Fire,,http://skylanderscharacterlist.com/kaboom/,http://skylanderscharacterlist.com/wp-content/uploads/2014/08/Kaboom-150x150.png
Skylander,Knight Light,,,X,,Light,,http://skylanderscharacterlist.com/knight-light/,http://skylanderscharacterlist.com/wp-content/uploads/2014/10/KnightLight-150x150.png
Skylander,Knight Mare,,,X,,Dark,,http://skylanderscharacterlist.com/knight-mare/,http://skylanderscharacterlist.com/wp-content/uploads/2014/10/KnightMare-150x150.png
Skylander,Krypt King,,,X,,Undead,,http://skylanderscharacterlist.com/krypt-king/,http://skylanderscharacterlist.com/wp-content/uploads/2014/06/KryptKing1-150x150.png
Skylander,Lob-Star,,,X,,Water,,http://skylanderscharacterlist.com/lob-star/,http://skylanderscharacterlist.com/wp-content/uploads/2014/09/LobStar-150x150.png
Skylander,Short Cut,,,X,,Undead,,http://skylanderscharacterlist.com/short-cut/,http://skylanderscharacterlist.com/wp-content/uploads/2014/09/ShortCut-150x150.png
Skylander,Snap Shot,,,X,,Water,,http://skylanderscharacterlist.com/snap-shot/,http://skylanderscharacterlist.com/wp-content/uploads/2014/04/SnapShot-150x150.png
Skylander,Thunderbolt,,,X,,Air,,http://skylanderscharacterlist.com/thunderbolt/,http://skylanderscharacterlist.com/wp-content/uploads/2014/09/Thunderbolt-150x150.png
Skylander,Tuff Luck,,,X,,Life,,http://skylanderscharacterlist.com/tuff-luck/,http://skylanderscharacterlist.com/wp-content/uploads/2014/09/TuffLuck-150x150.png
Skylander,Wallop,,,X,,Earth,,http://skylanderscharacterlist.com/wallop/,http://skylanderscharacterlist.com/wp-content/uploads/2014/06/Wallop-150x150.png
Skylander,Wildfire,,,X,,Fire,,http://skylanderscharacterlist.com/wild-fire/,http://skylanderscharacterlist.com/wp-content/uploads/2014/06/WildFire-150x150.png
Skylander,Bat Spin,,,X,,Undead,,http://skylanderscharacterlist.com/bat-spin/,http://skylanderscharacterlist.com/wp-content/uploads/2014/05/BatSpin1-150x150.png
Skylander,Blackout,,,X,,Dark,,http://skylanderscharacterlist.com/blackout/,http://skylanderscharacterlist.com/wp-content/uploads/2014/10/Blackout-150x150.png
Skylander,Blades,,,X,,Air,,http://skylanderscharacterlist.com/blades/,http://skylanderscharacterlist.com/wp-content/uploads/2014/09/Blades-150x150.png
Skylander,Chopper,,,X,,Tech,,http://skylanderscharacterlist.com/chopper/,http://skylanderscharacterlist.com/wp-content/uploads/2014/06/Chopper-150x150.png
Skylander,Cobra Cadabra,,,X,,Magic,,http://skylanderscharacterlist.com/cobra-cadabra/,http://skylanderscharacterlist.com/wp-content/uploads/2014/09/CobraCadabra-150x150.png
Skylander,Deja Vu,,,X,,Magic,,http://skylanderscharacterlist.com/deja-vu/,http://skylanderscharacterlist.com/wp-content/uploads/2014/09/DejaVu-150x150.png
Skylander,Echo,,,X,,Water,,http://skylanderscharacterlist.com/echo/,http://skylanderscharacterlist.com/wp-content/uploads/2014/09/Echo-150x150.png
Skylander,Fist Bump,,,X,,Earth,,http://skylanderscharacterlist.com/fist-bump/,http://skylanderscharacterlist.com/wp-content/uploads/2014/09/FistBump-150x150.png
Skylander,Fling Kong,,,X,,Air,,http://skylanderscharacterlist.com/fling-kong/,http://skylanderscharacterlist.com/wp-content/uploads/2014/09/FlingKong-150x150.png
Skylander,Flip Wreck,,,X,,Water,,http://skylanderscharacterlist.com/flip-wreck/,http://skylanderscharacterlist.com/wp-content/uploads/2014/05/FlipWreck1-150x150.png
Skylander,Food Fight,,,X,,Life,,http://skylanderscharacterlist.com/food-fight/,http://skylanderscharacterlist.com/wp-content/uploads/2014/04/FoodFight-150x150.png
