Category,Name,Image,Have,Need,Duplicates,Element,Vehicle Type,Link,Image Link
Skylander,Blast Zone,,,X,,Fire,,http://skylanderscharacterlist.com/blast-zone/,http://skylanderscharacterlist.com/wp-content/uploads/2013/06/BlastZone-150x150.png
Skylander,Boom Jet,,,X,,Air,,http://skylanderscharacterlist.com/boom-jet/,http://skylanderscharacterlist.com/wp-content/uploads/2014/02/BoomJet-150x150.png
Skylander,Doom Stone,,,X,,Earth,,http://skylanderscharacterlist.com/doom-stone/,http://skylanderscharacterlist.com/wp-content/uploads/2013/11/DoomStone1-150x150.png
Skylander,Fire Kraken,,,X,,Fire,,http://skylanderscharacterlist.com/fire-kraken/,http://skylanderscharacterlist.com/wp-content/uploads/2013/06/FireKraken-150x150.png
Skylander,Free Ranger,,,X,,Air,,http://skylanderscharacterlist.com/free-ranger/,http://skylanderscharacterlist.com/wp-content/uploads/2013/06/FreeRanger-150x150.png
Skylander,Freeze Blade,,,X,,Water,,http://skylanderscharacterlist.com/freeze-blade/,http://skylanderscharacterlist.com/wp-content/uploads/2014/03/FreezeBlade-150x150.png
Skylander,Grilla Drilla,,,X,,Earth,,http://skylanderscharacterlist.com/grilla-drilla/,http://skylanderscharacterlist.com/wp-content/uploads/2013/08/GrillaDrilla-150x150.png
Skylander,Hoot Loop,,,X,,Magic,,http://skylanderscharacterlist.com/hoot-loop/,http://skylanderscharacterlist.com/wp-content/uploads/2013/06/HootLoop-150x150.png
Skylander,Magna Charge,,,X,,Tech,,http://skylanderscharacterlist.com/magna-charge/,http://skylanderscharacterlist.com/wp-content/uploads/2013/08/MagnaCharge-150x150.png
Skylander,Night Shift,,,X,,Undead,,http://skylanderscharacterlist.com/night-shift/,http://skylanderscharacterlist.com/wp-content/uploads/2013/08/NightShift-150x150.png
Skylander,Rattle Shake,,,X,,Undead,,http://skylanderscharacterlist.com/rattle-shake/,http://skylanderscharacterlist.com/wp-content/uploads/2014/02/RattleShake-150x150.png
Skylander,Rubble Rouser,,,X,,Earth,,http://skylanderscharacterlist.com/rubble-rouser/,http://skylanderscharacterlist.com/wp-content/uploads/2013/12/RubbleRouser1-150x150.png
Skylander,Spy Rise,,,X,,Tech,,http://skylanderscharacterlist.com/spy-rise/,http://skylanderscharacterlist.com/wp-content/uploads/2013/12/SpyRise-150x150.png
Skylander,Stink Bomb,,,X,,Life,,http://skylanderscharacterlist.com/stink-bomb/,http://skylanderscharacterlist.com/wp-content/uploads/2013/12/StinkBomb-150x150.png
Skylander,Trap Shadow,,,X,,Magic,,http://skylanderscharacterlist.com/trap-shadow/,http://skylanderscharacterlist.com/wp-content/uploads/2014/03/TrapShadow-150x150.png
Skylander,Wash Buckler,,,X,,Water,,http://skylanderscharacterlist.com/wash-buckler/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/WashBuckler-150x150.png
Skylander,Bumble Blast,,,X,,Life,,http://skylanderscharacterlist.com/bumble-blast/,http://skylanderscharacterlist.com/wp-content/uploads/2013/12/BumbleBlast-150x150.png
Skylander,Countdown,,,X,,Tech,,http://skylanderscharacterlist.com/countdown/,http://skylanderscharacterlist.com/wp-content/uploads/2013/06/Countdown-150x150.png
Skylander,Dune Bug,,,X,,Magic,,http://skylanderscharacterlist.com/dune-bug/,http://skylanderscharacterlist.com/wp-content/uploads/2013/12/DuneBug-150x150.png
