Category,Name,Image,Have,Need,Duplicates,Element,Vehicle Type,Link,Image Link
Sensei,Air Strike,,,X,,Air,,http://skylanderscharacterlist.com/air-strike/,http://skylanderscharacterlist.com/wp-content/uploads/2016/07/AirStrike.png
Sensei,Ambush,,,X,,Life,,http://skylanderscharacterlist.com/ambush/,http://skylanderscharacterlist.com/wp-content/uploads/2016/06/AmbushFinal.png
Sensei,Aurora,,,X,,Light,,http://skylanderscharacterlist.com/aurora/,http://skylanderscharacterlist.com/wp-content/uploads/2016/05/AuroraFinal.png
Sensei,Barbella,,,X,,Earth,,http://skylanderscharacterlist.com/barbella/,http://skylanderscharacterlist.com/wp-content/uploads/2016/05/BarbellaFinal.png
Sensei,Boom Boom,,,X,,Life,,http://skylanderscharacterlist.com/wp-content/uploads/2016/05/BarbellaFinal.png,http://skylanderscharacterlist.com/wp-content/uploads/2016/11/BoomBloom.png
Sensei,Buckshot,,,X,,Magic,,http://skylanderscharacterlist.com/buckshot/,http://skylanderscharacterlist.com/wp-content/uploads/2016/11/Buckshot.png
Sensei,Chain Reaction,,,X,,Tech,,http://skylanderscharacterlist.com/chain-reaction/,http://skylanderscharacterlist.com/wp-content/uploads/2016/11/ChainReaction.png
Sensei,Chopscotch,,,X,,Undead,,http://skylanderscharacterlist.com/chopscotch/,http://skylanderscharacterlist.com/wp-content/uploads/2016/05/ChopscotchFinal.png
Sensei,Crash Bandicoot,,,X,,Life,,http://skylanderscharacterlist.com/crash-bandicoot/,http://skylanderscharacterlist.com/wp-content/uploads/2016/06/CrashBandicoot.png
Sensei,Dr. Neo Cortex,,,X,,Tech,,http://skylanderscharacterlist.com/dr-neo-cortex/,http://skylanderscharacterlist.com/wp-content/uploads/2016/08/DrNeoCortex.png
Sensei,Ember,,,X,,Fire,,http://skylanderscharacterlist.com/ember/,http://skylanderscharacterlist.com/wp-content/uploads/2016/05/EmberFinal.png
Sensei,Flarewolf,,,X,,Fire,,http://skylanderscharacterlist.com/flarewolf/,http://skylanderscharacterlist.com/wp-content/uploads/2016/11/FlareWolf.png
Sensei,King Pen,,,X,,Water,,http://skylanderscharacterlist.com/king-pen/,http://skylanderscharacterlist.com/wp-content/uploads/2016/05/KingPen.png
Sensei,Mysticat,,,X,,Magic,,http://skylanderscharacterlist.com/mysticat/,http://skylanderscharacterlist.com/wp-content/uploads/2016/05/MysticatFinal.png
Sensei,Pit Boss,,,X,,Undead,,http://skylanderscharacterlist.com/pit-boss/,http://skylanderscharacterlist.com/wp-content/uploads/2016/09/PitBossTemp.png
