Category,Name,Image,Have,Need,Duplicates,Element,Vehicle Type,Link,Image Link
Skylander,Astroblast,,,X,,Light,,http://skylanderscharacterlist.com/astroblast/,http://skylanderscharacterlist.com/wp-content/uploads/2015/07/Astroblast-150x150.png
Skylander,Big Bubble Pop Fizz,,,X,,Magic,,http://skylanderscharacterlist.com/big-bubble-pop-fizz/,http://skylanderscharacterlist.com/wp-content/uploads/2015/07/BigBubblePopFizz-150x150.png
Skylander,Bone Bash Roller Brawl,,,X,,Undead,,http://skylanderscharacterlist.com/bone-bash-roller-brawl/,http://skylanderscharacterlist.com/wp-content/uploads/2015/07/BoneBashRollerBrawl-150x150.png
Skylander,Deep Dive Gill Grunt,,,X,,Water,,http://skylanderscharacterlist.com/deep-dive-gill-grunt/,http://skylanderscharacterlist.com/wp-content/uploads/2015/06/DeepDiveGillGrunt1-150x150.png
Skylander,Dive-Clops,,X,,,Water,,http://skylanderscharacterlist.com/dive-clops/,http://skylanderscharacterlist.com/wp-content/uploads/2015/06/DiveClops-150x150.png
Skylander,Double Dare Trigger Happy,,,X,,Tech,,http://skylanderscharacterlist.com/double-dare-trigger-happy/,http://skylanderscharacterlist.com/wp-content/uploads/2015/07/DoubleDareTriggerHappy-150x150.png
Skylander,Fiesta,,,X,,Undead,,http://skylanderscharacterlist.com/fiesta/,http://skylanderscharacterlist.com/wp-content/uploads/2015/06/Fiesta-150x150.png
Skylander,Hammer Slam Bowser,,X,,,Fire,,http://skylanderscharacterlist.com/hammer-slam-bowser/,http://skylanderscharacterlist.com/wp-content/uploads/2015/06/HammerSlamBowser-150x150.png
Skylander,High Volt,,X,,,Tech,,http://skylanderscharacterlist.com/high-volt/,http://skylanderscharacterlist.com/wp-content/uploads/2015/07/HighVolt-150x150.png
Skylander,Hurricane Jet-Vac,,X,,,Air,,http://skylanderscharacterlist.com/hurricane-jet-vac/,http://skylanderscharacterlist.com/wp-content/uploads/2015/06/HurricaneJetVac-150x150.png
Skylander,Lava Lance Eruptor,,,X,,Fire,,http://skylanderscharacterlist.com/lava-lance-eruptor/,http://skylanderscharacterlist.com/wp-content/uploads/2015/07/LavaLanceEruptor1-150x150.png
Skylander,Nightfall,,,X,,Dark,,http://skylanderscharacterlist.com/nightfall/,http://skylanderscharacterlist.com/wp-content/uploads/2015/06/Nightfall-150x150.png
Skylander,Shark Shooter Terrafin,,,X,,Earth,,http://skylanderscharacterlist.com/shark-shooter-terrafin/,http://skylanderscharacterlist.com/wp-content/uploads/2015/06/SharkShooterTerrafin2-150x150.png
Skylander,Smash Hit,,,X,,Earth,,http://skylanderscharacterlist.com/smash-hit/,http://skylanderscharacterlist.com/wp-content/uploads/2015/07/SmashHit-150x150.png
Skylander,Spitfire,,X,,,Fire,,http://skylanderscharacterlist.com/spitfire/,http://skylanderscharacterlist.com/wp-content/uploads/2015/06/SpitFire-150x150.png
Skylander,Splat,,,X,,Magic,,http://skylanderscharacterlist.com/splat/,http://skylanderscharacterlist.com/wp-content/uploads/2015/07/Splat-150x150.png
Skylander,Stormblade,,,X,,Air,,http://skylanderscharacterlist.com/stormblade/,http://skylanderscharacterlist.com/wp-content/uploads/2015/06/StormBlade-150x150.png
Skylander,Super Shot Stealth Elf,,X,,,Life,,http://skylanderscharacterlist.com/super-shot-stealth-elf/,http://skylanderscharacterlist.com/wp-content/uploads/2015/06/SuperShotStealthElf-150x150.png
Skylander,Thrillipede,,,X,,Life,,http://skylanderscharacterlist.com/thrillipede/,http://skylanderscharacterlist.com/wp-content/uploads/2015/07/Thrillipede-150x150.png
Skylander,Turbo Charge Donkey Kong,,X,,,Life,,http://skylanderscharacterlist.com/turbo-charge-donkey-kong/,http://skylanderscharacterlist.com/wp-content/uploads/2015/06/TurboChargeDonkeyKong-150x150.png
Skylander Variant,Dark Hammer Slam Bowser,,,X,,Fire,,http://skylanderscharacterlist.com/dark-hammer-slam-bowser/,http://skylanderscharacterlist.com/wp-content/uploads/2015/07/DarkHammerSlamBowser-300-150x150.png
Skylander Variant,Dark Spitfire,,X,,,Fire,,http://skylanderscharacterlist.com/dark-spitfire/,http://skylanderscharacterlist.com/wp-content/uploads/2015/07/DarkSpitfire-300-150x150.png
Skylander Variant,Dark Super Shot Stealth Elf,,,X,,Life,,http://skylanderscharacterlist.com/dark-super-shot-stealth-elf/,http://skylanderscharacterlist.com/wp-content/uploads/2015/07/DarkSuperShotStealthElf-300-150x150.png
Skylander Variant,Dark Turbo Charge Donkey Kong,,,X,,Life,,http://skylanderscharacterlist.com/dark-turbo-charge-donkey-kong/,http://skylanderscharacterlist.com/wp-content/uploads/2015/07/DarkTurboChargeDonkeyKong-300-150x150.png
Skylander Variant,Easter Thrillipede,,,X,,Life,,http://skylanderscharacterlist.com/thrillipede/,http://skylanderscharacterlist.com/wp-content/uploads/2015/09/easter-thrillipede-150x150.png
Skylander Variant,Frightful Fiesta,,,X,,Undead,,http://skylanderscharacterlist.com/frightful-fiesta/,http://skylanderscharacterlist.com/wp-content/uploads/2015/08/FrightfulFiesta-150x150.png
Skylander Variant,Legendary Astroblast,,,X,,Light,,http://skylanderscharacterlist.com/legendary-astroblast/,http://skylanderscharacterlist.com/wp-content/uploads/2015/09/LegendaryAstroblast-150x150.png
Skylander Variant,Legendary Bone Bash Roller Brawl,,,X,,Undead,,http://skylanderscharacterlist.com/legendary-bone-bash-roller-brawl/,http://skylanderscharacterlist.com/wp-content/uploads/2015/09/LegendaryBoneBashRollerBrawl-150x150.png
Skylander Variant,Legendary Hurricane Jet-Vac,,,X,,Air,,http://skylanderscharacterlist.com/legendary-hurricane-jet-vac/,http://skylanderscharacterlist.com/wp-content/uploads/2015/08/LegendaryHurricaneJetVac-150x150.png
Skylander Variant,Steel Plated Smash Hit,,,X,,Earth,,http://skylanderscharacterlist.com/steel-plated-smash-hit/,http://skylanderscharacterlist.com/wp-content/uploads/2015/08/SteelPlatedSmashHit-150x150.png
Skylander Variant,Birthday Bash Big Bubble Pop Fizz,,,X,,Magic,,http://skylanderscharacterlist.com/birthday-bash-big-bubble-pop-fizz/,http://skylanderscharacterlist.com/wp-content/uploads/2015/12/BirthdayBashBigBubblePopFizz-300x300.png
Skylander Variant,Eggcited Thrillipede,,,X,,Life,,http://skylanderscharacterlist.com/eggcited-thrillipede/,http://skylanderscharacterlist.com/wp-content/uploads/2015/10/EggcitedThrillipede-300x300.png
Skylander Variant,Missile-Tow Dive-Clops,,,X,,Water,,http://skylanderscharacterlist.com/missile-tow-dive-clops/,http://skylanderscharacterlist.com/wp-content/uploads/2015/11/MissileTowDiveClops-300x300.png
Skylander Variant,Power Blue Splat,,,X,,Magic,,https://skylanderscharacterlist.com/power-blue-splat/,https://skylanderscharacterlist.com/wp-content/uploads/2016/02/PowerBlueSplat.png
